,Title,Year,Rated,Released,Primary_Genre,Genre,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,BoxOffice,Metascore,imdbRating,imdbVotes,Type,popularity,vote_average,vote_count,trakt_vote_average,trakt_vote_count,Actor1,Actor2,Actor3,RottenTomatoesRating,MetacriticRating,Oscar Wins,Oscar Nominations,BAFTA Wins,Primetime Emmy Wins,Overall Wins,Overall Nominations
2050,Ouija: Origin of Evil,2016,PG-13,21 Oct 2016,Drama,"Drama, Horror, Mystery",99.0,Mike Flanagan,"Mike Flanagan, Jeff Howard, Juliet Snowden","Elizabeth Reaser, Lulu Wilson, Annalise Basso","In 1967 Los Angeles, a widowed mother's daughter tries to communicate with her late father through a Ouija board, but unleashes a demon instead.","English, Ukrainian",United States,2 wins & 7 nominations total,35144505.0,65.0,6.2,77954,movie,43.997,6.133,2455,6.62393,6419.0,Elizabeth Reaser, Lulu Wilson, Annalise Basso,83%,65/100,0,0,0,0,2,7
2051,The Abyss,1989,PG-13,09 Aug 1989,Adventure,"Adventure, Drama, Mystery",140.0,James Cameron,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn",A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,English,United States,Won 1 Oscar. 9 wins & 16 nominations total,54981151.0,62.0,7.5,198597,movie,43.987,7.4,2970,5.93218,634.0,Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn,89%,62/100,1,0,0,0,9,16
2052,Project Wolf Hunting,2022,18+,21 Sep 2022,Action,"Action, Crime, Horror",122.0,Hongsun Kim,Hongsun Kim,"Seo In-guk, Jang Dong-yoon, Jung So-min","Follows dangerous criminals on a cargo ship who are transported from the Philippines to South Korea, as they unleash a sinister force after an escape attempt leads to a riot.","Korean, Japanese, Filipino, English",South Korea,1 win & 2 nominations total,20541.0,53.0,6.0,7941,movie,43.984,6.39,355,6.43257,608.0,Seo In-guk, Jang Dong-yoon, Jung So-min,,53/100,0,0,0,0,1,2
2053,Spitfire Over Berlin,2022,PG-13,13 May 2022,Action,"Action, Drama, War",80.0,Callum Burn,"Andrew Burn, Callum Burn","Kris Saddler, Luke Williams, Vin Hawke","In August 1944, as Allied bombers prepare to strike Nazi Germany, British intelligence discovers a potential trap. An unarmed pilot must photograph Berlin to reveal the threat and prevent the loss of 1, 200 lives.",English,United Kingdom,None,0.0,,3.0,1697,movie,43.968,5.4,56,5.34815,135.0,Kris Saddler, Luke Williams, Vin Hawke,,,0,0,0,0,0,0
2054,Mulan II,2004,G,17 Dec 2004,Animation,"Animation, Action, Comedy, Family, Musical",79.0,"Darrell Rooney, Lynne Southerland","Michael Lucker (screenplay), Chris Parker (screenplay), Roger S.H. Schulman (screenplay)","Ming-Na Wen, BD Wong, Mark Moseley, Lucy Liu","While preparing for their wedding, Shang and Mulan are suddenly sent off on a secret mission. Mushu starts to meddle, and a surprise attack by Mongolians doesn't help either.",English,"USA, South Korea, Singapore, Russia, Malaysia, Kazakhstan, Taiwan, Hong Kong, Japan, China, India, Syria, Iran, Egypt, Pakistan",1 nomination.,0.0,,5.7,23817,movie,43.965,6.495,2352,6.50945,2752.0,Ming-Na Wen, BD Wong, Mark Moseley,0%,,0,0,0,0,0,0
2055,The Mummy: Tomb of the Dragon Emperor,2008,PG-13,01 Aug 2008,Action,"Action, Adventure, Fantasy",112.0,Rob Cohen,"Alfred Gough, Miles Millar, John L. Balderston","Brendan Fraser, Jet Li, Maria Bello","In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.","English, Mandarin, Sanskrit","United States, Germany, China, Canada, United Kingdom, Hong Kong",2 wins & 6 nominations total,102491776.0,31.0,5.2,173901,movie,43.956,5.492,4425,5.9188,6872.0,Brendan Fraser, Jet Li, Maria Bello,13%,31/100,0,0,0,0,2,6
2056,Noryang: Deadly Sea,2023,NOT RATED,05 Jan 2024,Action,"Action, Biography, History",152.0,Han-min Kim,Han-min Kim,"Kim Beom-soo, Ahn Bo-hyun, Jeong-Tae Choi","Winter of 1598, the story of Yi Sun-shin's last naval battle during the Japanese invasions of Korea that happened in the Noryang Strait.","Korean, Japanese, Mandarin",South Korea,3 nominations total,315245.0,,6.3,920,movie,43.913,6.3,139,6.51429,140.0,Kim Beom-soo, Ahn Bo-hyun, Jeong-Tae Choi,,,0,0,0,0,0,0
2057,The Bourne Ultimatum,2007,PG-13,03 Aug 2007,Action,"Action, Mystery, Thriller",115.0,Paul Greengrass,"Tony Gilroy, Scott Z. Burns, George Nolfi","Matt Damon, Edgar Ramírez, Joan Allen",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"English, Russian, French, Spanish, Arabic, Italian","United States, Germany, France, Spain",Won 3 Oscars. 29 wins & 42 nominations total,227471070.0,85.0,8.0,667440,movie,43.886,7.431,7633,7.94883,19562.0,Matt Damon, Edgar Ramírez, Joan Allen,92%,85/100,3,0,0,0,29,42
2058,Casino,1995,R,22 Nov 1995,Crime,"Crime, Drama",178.0,Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",English,"United States, France",Nominated for 1 Oscar. 4 wins & 11 nominations total,42512375.0,73.0,8.2,580605,movie,43.866,8.007,5811,8.15315,10617.0,Robert De Niro, Sharon Stone, Joe Pesci,79%,73/100,0,0,0,0,0,0
2059,Interview with the Vampire,1994,R,11 Nov 1994,Drama,"Drama, Fantasy, Horror",123.0,Neil Jordan,Anne Rice,"Brad Pitt, Tom Cruise, Antonio Banderas","A vampire tells his epic life story: love, betrayal, loneliness, and hunger.","English, French",United States,Nominated for 2 Oscars. 24 wins & 34 nominations total,105264608.0,62.0,7.5,357461,movie,43.859,7.382,5834,7.65395,10481.0,Brad Pitt, Tom Cruise, Antonio Banderas,63%,62/100,0,0,0,0,0,0
2060,Rio 2,2014,G,11 Apr 2014,Animation,"Animation, Adventure, Comedy",101.0,Carlos Saldanha,"Don Rhymer, Carlos Kotkin, Jenny Bicks","Jesse Eisenberg, Anne Hathaway, Jemaine Clement","It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.","English, Portuguese","United States, Iraq, Canada",Nominated for 1 BAFTA Award2 wins & 24 nominations total,131538435.0,49.0,6.3,104450,movie,43.854,6.5,3477,6.90284,6968.0,Jesse Eisenberg, Anne Hathaway, Jemaine Clement,50%,49/100,0,0,0,0,0,0
2061,Irreversible,2002,NOT RATED,22 May 2002,Crime,"Crime, Drama, Mystery",97.0,Gaspar Noé,Gaspar Noé,"Monica Bellucci, Vincent Cassel, Albert Dupontel",Events over the course of one traumatic night in Paris unfold in reverse-chronological order.,"French, Spanish, Italian, English",France,3 wins & 13 nominations total,803491.0,51.0,7.3,152035,movie,43.849,7.228,2887,7.08685,3650.0,Monica Bellucci, Vincent Cassel, Albert Dupontel,59%,51/100,0,0,0,0,3,13
2062,City Hunter,1993,PG-13,14 Jan 1993,Action,"Action, Comedy, Crime",100.0,Jing Wong,"Tsukasa Hôjô, Jing Wong","Jackie Chan, Richard Norton, Joey Wang","A self-indulgent private investigator winds up on a cruise ship full of rich patrons, gorgeous women, murderous terrorists, and scarce food.",Cantonese,"Hong Kong, Japan",None,0.0,,6.3,12838,movie,43.785,6.5,194,6.6769,554.0,Jackie Chan, Richard Norton, Joey Wang,50%,,0,0,0,0,0,0
2063,Final Destination 5,2011,R,12 Aug 2011,Horror,"Horror, Thriller",92.0,Steven Quale,"Eric Heisserer, Jeffrey Reddick","Nicholas D'Agosto, Emma Bell, Arlen Escarpeta",Death returns to claim the lucky survivors of a deadly bridge collapse in this fifth frightening installment in the series.,"English, Cantonese","United States, Canada",2 wins & 6 nominations total,42587643.0,50.0,5.9,129002,movie,43.767,6.1,3404,6.32459,6026.0,Nicholas D'Agosto, Emma Bell, Arlen Escarpeta,63%,50/100,0,0,0,0,2,6
2064,Breaking and Re-entering,2024,PG-13,08 Feb 2024,Action,"Action, Comedy",109.0,Ding-Lin Wang,Unknown,"Chen Bolin, Kent Tsai, J.C. Lin","An invincible theft group led by Chang Bojun, who secretly carried out a 1 billion yuan theft case on New Year's Eve. Unexpectedly, they encountered a gang robbing gang, and Chang's ex-girlfriend was accidentally involved in the c...","Min Nan, Mandarin",Taiwan,None,0.0,,5.7,389,movie,43.745,6.2,62,6.57143,28.0,Chen Bolin, Kent Tsai, J.C. Lin,80%,,0,0,0,0,0,0
2065,The Judge,2014,R,10 Oct 2014,Crime,"Crime, Drama, Mystery",141.0,David Dobkin,"Nick Schenk, Bill Dubuque, David Dobkin","Robert Downey Jr., Robert Duvall, Vera Farmiga","Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family.",English,United States,Nominated for 1 Oscar. 3 wins & 9 nominations total,47119388.0,48.0,7.4,211552,movie,43.696,7.3,4071,7.39869,7186.0,Robert Downey Jr., Robert Duvall, Vera Farmiga,49%,48/100,0,0,0,0,0,0
2066,The Big Lebowski,1998,R,06 Mar 1998,Comedy,"Comedy, Crime",117.0,"Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","Jeff Bridges, John Goodman, Julianne Moore","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","English, German, Hebrew, Spanish","United Kingdom, United States",5 wins & 18 nominations total,19301403.0,71.0,8.1,878842,movie,43.663,7.843,11181,8.04803,22175.0,Jeff Bridges, John Goodman, Julianne Moore,80%,71/100,0,0,0,0,5,18
2067,Dinosaur,2000,PG,19 May 2000,Animation,"Animation, Adventure, Drama",82.0,"Eric Leighton, Ralph Zondag","John Harrison, Robert Nelson Jacobs, Walon Green","D.B. Sweeney, Julianna Margulies, Samuel E. Wright",An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.,English,United States,4 wins & 22 nominations,137748063.0,56.0,6.4,68776,movie,43.644,6.5,2523,6.78623,4126.0,D.B. Sweeney, Julianna Margulies, Samuel E. Wright,65%,56/100,0,0,0,0,4,22
2068,Scooby-Doo,2002,PG,14 Jun 2002,Adventure,"Adventure, Comedy, Family",86.0,Raja Gosnell,"James Gunn, Craig Titley, William Hanna","Matthew Lillard, Freddie Prinze Jr., Sarah Michelle Gellar","After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.",English,"United States, Australia",5 wins & 14 nominations total,153322074.0,35.0,5.3,130160,movie,43.641,6.1,4424,6.34045,6180.0,Matthew Lillard, Freddie Prinze Jr., Sarah Michelle Gellar,32%,35/100,0,0,0,0,5,14
2069,The Da Vinci Code,2006,PG-13,19 May 2006,Mystery,"Mystery, Thriller",149.0,Ron Howard,"Akiva Goldsman, Dan Brown","Tom Hanks, Audrey Tautou, Jean Reno","A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.","English, French, Latin, Spanish","United States, Malta, France, United Kingdom",8 wins & 21 nominations total,217536138.0,46.0,6.6,468386,movie,43.613,6.728,9280,7.04206,16523.0,Tom Hanks, Audrey Tautou, Jean Reno,25%,46/100,0,0,0,0,8,21
2070,Reservoir Dogs,1992,R,02 Sep 1992,Crime,"Crime, Thriller",99.0,Quentin Tarantino,"Quentin Tarantino, Roger Avary","Harvey Keitel, Tim Roth, Michael Madsen","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",English,United States,13 wins & 23 nominations,2832029.0,81.0,8.3,1114279,movie,43.602,8.1,14292,8.25006,22283.0,Harvey Keitel, Tim Roth, Michael Madsen,90%,81/100,0,0,0,0,13,23
