,Title,Year,Rated,Released,Primary_Genre,Genre,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,BoxOffice,Metascore,imdbRating,imdbVotes,Type,popularity,vote_average,vote_count,trakt_vote_average,trakt_vote_count,Actor1,Actor2,Actor3,RottenTomatoesRating,MetacriticRating,Oscar Wins,Oscar Nominations,BAFTA Wins,Primetime Emmy Wins,Overall Wins,Overall Nominations
0,Venom: The Last Dance,2024,PG-13,25 Oct 2024,Action,"Action, Adventure, Sci-Fi",110.0,Kelly Marcel,"Kelly Marcel, Tom Hardy, Todd McFarlane","Tom Hardy, Chiwetel Ejiofor, Juno Temple",Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,English,"United States, United Kingdom, Canada",2 nominations total,139688083.0,41.0,6.0,68553,movie,9486.301,6.8,1587,6.9672,9511.0,Tom Hardy, Chiwetel Ejiofor, Juno Temple,41%,41/100,0,0,0,0,0,0
1,Moana 2,2024,PG,27 Nov 2024,Animation,"Animation, Adventure, Comedy",100.0,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Jared Bush, Dana Ledoux Miller, Bek Smith","Auli'i Cravalho, Dwayne Johnson, Hualalai Chung","After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",English,"United States, Canada",1 win & 12 nominations total,382705425.0,58.0,6.9,48560,movie,3980.558,6.938,505,7.27571,2227.0,Auli'i Cravalho, Dwayne Johnson, Hualalai Chung,61%,58/100,0,0,0,0,1,12
2,Red One,2024,PG-13,15 Nov 2024,Action,"Action, Adventure, Comedy",123.0,Jake Kasdan,"Chris Morgan, Hiram Garcia","Dwayne Johnson, Chris Evans, Lucy Liu","After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.",English,"United States, Canada",2 nominations total,96894014.0,34.0,6.4,118483,movie,3379.818,6.944,762,7.04424,9087.0,Dwayne Johnson, Chris Evans, Lucy Liu,30%,34/100,0,0,0,0,0,0
3,Elevation,2024,R,26 Nov 2024,Action,"Action, Sci-Fi, Thriller",91.0,George Nolfi,"John Glenn, Jacob Roman, Kenny Ryan","Anthony Mackie, Morena Baccarin, Maddie Hasson",A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,English,United States,None,2321801.0,49.0,5.6,7425,movie,2167.591,6.5,163,0.0,0.0,Anthony Mackie, Morena Baccarin, Maddie Hasson,53%,49/100,0,0,0,0,0,0
4,Absolution,2024,R,01 Nov 2024,Action,"Action, Crime, Mystery",112.0,Hans Petter Moland,Tony Gayton,"Liam Neeson, Daniel Diemer, Javier Molina","An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly.",English,United States,None,2716343.0,51.0,5.2,4039,movie,1732.435,6.1,133,6.25,20.0,Liam Neeson, Daniel Diemer, Javier Molina,53%,51/100,0,0,0,0,0,0
5,Heretic,2024,R,08 Nov 2024,Horror,"Horror, Thriller",111.0,"Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East",Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,English,"United States, Canada",17 nominations total,27791987.0,71.0,7.1,49905,movie,1511.671,7.175,345,7.2119,5276.0,Hugh Grant, Sophie Thatcher, Chloe East,91%,71/100,0,0,0,0,0,0
6,That Christmas,2024,PG,04 Dec 2024,Animation,"Animation, Adventure, Comedy",91.0,Simon Otto,"Richard Curtis, Peter Souter, Andrew Dawson","Bill Nighy, Brian Cox, Guz Khan","It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans, including Santa's.",English,United Kingdom,7 nominations total,0.0,60.0,6.8,11685,movie,1480.413,7.5,133,7.29862,1527.0,Bill Nighy, Brian Cox, Guz Khan,66%,60/100,0,0,0,0,0,0
7,Armor,2024,R,22 Nov 2024,Action,"Action, Crime, Drama",89.0,Justin Routt,"Cory Todd Hughes, Adrian Speckert","Sylvester Stallone, Josh Wiggins, Dash Mihok",A father and son working as security guards for an armored truck company encounter a team of would-be robbers while on a bridge. They become trapped and must come up with a plan to escape and ensure their survival.,English,United States,None,0.0,,3.5,2406,movie,1356.595,5.4,73,6.03978,1785.0,Sylvester Stallone, Josh Wiggins, Dash Mihok,0%,,0,0,0,0,0,0
8,Watchmen: Chapter II,2024,R,26 Nov 2024,Animation,"Animation, Action, Drama",90.0,"Vinton Heuck, Brandon Vietti","Dave Gibbons, Alan Moore, J. Michael Straczynski","Troy Baker, Adrienne Barbeau, Michael Cerveris","In an alternate 1985 America, a group of retired superheroes investigate a conspiracy after one of their own is murdered.",English,United States,None,0.0,,7.0,1659,movie,1226.19,7.6,49,7.22993,461.0,Troy Baker, Adrienne Barbeau, Michael Cerveris,,,0,0,0,0,0,0
9,Weekend in Taipei,2024,R,08 Nov 2024,Action,"Action, Thriller",100.0,George Huang,"Luc Besson, George Huang","Luke Evans, Lun-Mei Gwei, Sung Kang","A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.","English, Mandarin","France, Taiwan, United States",None,608034.0,,5.7,2733,movie,1206.516,6.2,73,6.87742,930.0,Luke Evans, Lun-Mei Gwei, Sung Kang,52%,,0,0,0,0,0,0
10,The Wild Robot,2024,PG,27 Sep 2024,Animation,"Animation, Sci-Fi",102.0,Chris Sanders,"Chris Sanders, Peter Brown","Lupita Nyong'o, Pedro Pascal, Kit Connor","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",English,"United States, Japan",27 wins & 41 nominations total,143064065.0,85.0,8.2,99203,movie,1177.7,8.39,3454,8.44526,9134.0,Lupita Nyong'o, Pedro Pascal, Kit Connor,97%,85/100,0,0,0,0,27,41
11,Gladiator II,2024,R,22 Nov 2024,Action,"Action, Adventure, Drama",148.0,Ridley Scott,"David Scarpa, Peter Craig, David Franzoni","Paul Mescal, Denzel Washington, Pedro Pascal","After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.","English, Latin","United States, United Kingdom, Morocco, Canada, Malta",2 wins & 55 nominations total,149487987.0,64.0,6.9,112688,movie,1105.753,6.685,1103,7.05113,11206.0,Paul Mescal, Denzel Washington, Pedro Pascal,71%,64/100,0,0,0,0,2,55
12,The Substance,2024,R,20 Sep 2024,Drama,"Drama, Horror, Sci-Fi",141.0,Coralie Fargeat,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid","A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",English,"United Kingdom, France, United States",27 wins & 101 nominations total,16425984.0,78.0,7.4,168798,movie,927.484,7.2,2606,7.06402,10450.0,Demi Moore, Margaret Qualley, Dennis Quaid,90%,78/100,0,0,0,0,27,101
13,Smile 2,2024,R,18 Oct 2024,Horror,"Horror, Mystery, Thriller",127.0,Parker Finn,Parker Finn,"Naomi Scott, Rosemarie DeWitt, Lukas Gage","About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",English,"United States, Canada",1 win & 9 nominations total,68967012.0,67.0,6.8,79212,movie,893.941,6.585,940,6.60117,5298.0,Naomi Scott, Rosemarie DeWitt, Lukas Gage,86%,67/100,0,0,0,0,1,9
14,Deadpool & Wolverine,2024,R,26 Jul 2024,Action,"Action, Adventure, Comedy",128.0,Shawn Levy,"Ryan Reynolds, Rhett Reese, Paul Wernick","Ryan Reynolds, Hugh Jackman, Emma Corrin","Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.","English, French, Spanish","United States, United Kingdom, New Zealand, Canada",8 wins & 44 nominations total,636745858.0,56.0,7.6,450183,movie,889.036,7.67,5925,7.81274,24004.0,Ryan Reynolds, Hugh Jackman, Emma Corrin,78%,56/100,0,0,0,0,8,44
15,Mufasa: The Lion King,2024,PG,20 Dec 2024,Animation,"Animation, Adventure, Drama",118.0,Barry Jenkins,"Jeff Nathanson, Linda Woolverton, Irene Mecchi","Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone","Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",English,"United States, Canada",6 nominations total,138516080.0,56.0,6.7,19635,movie,867.518,6.8,6,7.3365,1997.0,Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone,,56/100,0,0,0,0,0,0
16,Terrifier 3,2024,NOT RATED,11 Oct 2024,Horror,Horror,125.0,Damien Leone,Damien Leone,"Lauren LaVera, David Howard Thornton, Antonella Rose",Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,English,United States,1 nomination total,53981071.0,62.0,6.4,41536,movie,829.481,6.851,1233,6.65773,2574.0,Lauren LaVera, David Howard Thornton, Antonella Rose,77%,62/100,0,0,0,0,0,0
17,Apocalypse Z: The Beginning of the End,2024,PG-13,31 Oct 2024,Action,"Action, Horror, Sci-Fi",117.0,Carles Torrens,"Ángel Agudo, Manel Loureiro","Iria del Río, José María Yazpik, Berta Vázquez","Manel is sheltering from a rabies-like disease which sweeps the planet, until he is forced to leave and meet unlikely but essential traveling companions.","Spanish, Ukrainian",Spain,None,0.0,,6.1,16867,movie,776.788,6.856,710,6.49552,3126.0,Iria del Río, José María Yazpik, Berta Vázquez,,,0,0,0,0,0,0
18,Alien: Romulus,2024,R,16 Aug 2024,Horror,"Horror, Sci-Fi, Thriller",119.0,Fede Alvarez,"Dan O'Bannon, Ronald Shusett, Fede Alvarez","Cailee Spaeny, David Jonsson, Archie Renaux","While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",English,"United Kingdom, United States, Hungary, Australia, New Zealand, Canada",2 wins & 25 nominations total,105313091.0,64.0,7.1,198722,movie,773.212,7.2,2661,7.24989,13266.0,Cailee Spaeny, David Jonsson, Archie Renaux,80%,64/100,0,0,0,0,2,25
19,Wicked,2024,PG,22 Nov 2024,Fantasy,"Fantasy, Musical, Romance",160.0,Jon M. Chu,"Winnie Holzman, Dana Fox, Gregory Maguire","Cynthia Erivo, Ariana Grande, Jeff Goldblum","Elphaba, a misunderstood young woman because of her green skin, and Glinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossr...",English,"United States, Japan, Canada, Iceland, United Kingdom",33 wins & 111 nominations total,374135875.0,73.0,8.0,69655,movie,772.138,7.6,551,5.91429,70.0,Cynthia Erivo, Ariana Grande, Jeff Goldblum,88%,73/100,0,0,0,0,33,111
20,Sidelined: The QB and Me,2024,PG-13,29 Nov 2024,Romance,Romance,99.0,Justin Wu,"Crystal Ferreiro, Mary Gulino","Siena Agudong, Noah Beck, Drew Ray Tanner",A headstrong dancer and a cocky quarterback fight against their feelings for each other as their post-grad future threatens to keep them apart.,English,United States,None,0.0,,6.2,1339,movie,754.205,6.4,67,6.94444,198.0,Siena Agudong, Noah Beck, Drew Ray Tanner,,,0,0,0,0,0,0
21,Inside Out 2,2024,PG,14 Jun 2024,Animation,"Animation, Adventure, Comedy",96.0,Kelsey Mann,"Meg LeFauve, Dave Holstein, Kelsey Mann","Amy Poehler, Maya Hawke, Kensington Tallman","A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",English,United States,3 wins & 60 nominations total,652980194.0,73.0,7.6,191639,movie,704.64,7.569,4995,7.74158,12147.0,Amy Poehler, Maya Hawke, Kensington Tallman,91%,73/100,0,0,0,0,3,60
22,Transformers One,2024,PG,20 Sep 2024,Animation,"Animation, Action, Adventure",104.0,Josh Cooley,"Eric Pearson, Andrew Barrer, Gabriel Ferrari","Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson","The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",English,United States,15 nominations total,59054170.0,64.0,7.6,40452,movie,689.924,8.115,874,7.92011,3705.0,Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson,89%,64/100,0,0,0,0,0,0
23,Despicable Me 4,2024,PG,03 Jul 2024,Animation,"Animation, Adventure, Comedy",94.0,"Chris Renaud, Patrick Delage","Mike White, Ken Daurio","Steve Carell, Kristen Wiig, Pierre Coffin","Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",English,United States,1 win & 2 nominations total,361004205.0,52.0,6.2,53717,movie,668.519,7.1,2298,7.0566,6254.0,Steve Carell, Kristen Wiig, Pierre Coffin,56%,52/100,0,0,0,0,1,2
24,Arena Wars,2024,PG-13,25 Jun 2024,Action,"Action, Comedy, Sci-Fi",96.0,Brandon Slagle,"Brandon Slagle, Michael Mahal, Sonny Mahal","Michael Madsen, Eric Roberts, Robert LaSardo","In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their fr...",English,"United States, United Kingdom, Canada",None,0.0,,5.1,1763,movie,653.279,5.4,31,5.35593,177.0,Michael Madsen, Eric Roberts, Robert LaSardo,,,0,0,0,0,0,0
25,Sonic the Hedgehog 3,2024,PG,20 Dec 2024,Action,"Action, Adventure, Comedy",110.0,Jeff Fowler,"Pat Casey, Josh Miller, John Whittington","Jim Carrey, Ben Schwartz, Keanu Reeves","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",English,"United States, Japan",None,136564198.0,58.0,7.3,16607,movie,620.392,6.8,5,7.76432,1519.0,Jim Carrey, Ben Schwartz, Keanu Reeves,,58/100,0,0,0,0,0,0
26,Levels,2024,R,01 Nov 2024,Action,"Action, Sci-Fi, Thriller",93.0,Adam Stern,Adam Stern,"Cara Gee, Peter Mooney, Aaron Abrams","After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",English,Canada,None,0.0,,5.0,834,movie,607.704,5.8,39,6.54577,874.0,Cara Gee, Peter Mooney, Aaron Abrams,,,0,0,0,0,0,0
27,Pimpinero: Blood and Oil,2024,R,10 Oct 2024,Action,"Action, Adventure, Drama",121.0,Andrés Baiz,"Maria Camila Arias, Andrés Baiz","Hillary Vergara, Juan Sebastián Calero, Ariel Sierra","In the treacherous desert along the Colombia-Venezuela border, gasoline smugglers known as ""pimpineros"" risk their lives transporting illegal fuel across the harsh landscape.","Wayuu, Spanish",Colombia,None,0.0,,5.9,87,movie,557.425,7.3,38,6.11667,60.0,Hillary Vergara, Juan Sebastián Calero, Ariel Sierra,,,0,0,0,0,0,0
28,How the Grinch Stole Christmas,2000,PG,17 Nov 2000,Comedy,"Comedy, Family, Fantasy",104.0,Ron Howard,"Dr. Seuss, Jeffrey Price, Peter S. Seaman","Jim Carrey, Taylor Momsen, Kelley","On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",English,"United States, Germany",Won 1 Oscar. 18 wins & 37 nominations total,261415800.0,46.0,6.3,303816,movie,490.88,6.766,7459,7.08564,14082.0,Jim Carrey, Taylor Momsen, Kelley,49%,46/100,1,0,0,0,18,37
29,Classified,2024,R,22 Oct 2024,Action,"Action, Thriller",105.0,Roel Reiné,Bob DeRosa,"Aaron Eckhart, Tim Roth, Abigail Breslin",A career CIA hitman who's been solely using the classified section of various newspapers to receive his orders suddenly discovers that his division's actually been shut down for years.,English,"United States, Bulgaria",None,0.0,,3.7,1398,movie,487.742,5.9,96,6.00182,1098.0,Aaron Eckhart, Tim Roth, Abigail Breslin,,,0,0,0,0,0,0
30,Arcadian,2024,R,12 Apr 2024,Action,"Action, Drama, Horror",92.0,Benjamin Brewer,Mike Nilon,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.,English,"United States, Ireland, Canada",1 nomination total,828919.0,57.0,5.5,19659,movie,485.744,6.119,488,6.03264,3002.0,Nicolas Cage, Jaeden Martell, Maxwell Jenkins,,57/100,0,0,0,0,0,0
31,Spellbound,1945,APPROVED,28 Dec 1945,Drama,"Drama, Film-Noir, Mystery",111.0,Alfred Hitchcock,"Ben Hecht, John Palmer, Hilary St George Saunders","Ingrid Bergman, Gregory Peck, Michael Chekhov",A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,English,United States,Won 1 Oscar. 7 wins & 6 nominations total,0.0,78.0,7.5,53812,movie,471.387,6.9,144,7.37093,860.0,Ingrid Bergman, Gregory Peck, Michael Chekhov,86%,78/100,1,0,0,0,7,6
32,Dear Santa,2024,PG-13,25 Nov 2024,Comedy,"Comedy, Fantasy",107.0,Bobby Farrelly,"Ricky Blitt, Peter Farrelly, Dan Ewen","Jack Black, Robert Timothy Smith, Keegan-Michael Key","When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish Jack Black arrives to wreak havoc on the holidays.",English,United States,1 nomination total,0.0,34.0,5.4,13676,movie,455.87,6.59,150,6.49216,3060.0,Jack Black, Robert Timothy Smith, Keegan-Michael Key,24%,34/100,0,0,0,0,0,0
33,Azrael,2024,R,27 Sep 2024,Action,"Action, Horror",86.0,E.L. Katz,Simon Barrett,"Vic Carmen Sonne, Samara Weaving, Nathan Stewart-Jarrett","In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival.",English,"United States, Estonia",1 nomination,433861.0,52.0,5.4,7387,movie,441.228,6.003,146,5.8564,968.0,Vic Carmen Sonne, Samara Weaving, Nathan Stewart-Jarrett,73%,52/100,0,0,0,0,0,0
34,The Count of Monte Cristo,2002,PG-13,25 Jan 2002,Action,"Action, Adventure, Drama",131.0,Kevin Reynolds,"Alexandre Dumas, Jay Wolpert","Jim Caviezel, Guy Pearce, Christopher Adamson","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",English,"Ireland, Switzerland, United Kingdom, United States",None,54234062.0,61.0,7.7,152233,movie,427.682,8.184,978,7.90109,3953.0,Jim Caviezel, Guy Pearce, Christopher Adamson,74%,61/100,0,0,0,0,0,0
35,Remnant,2024,NOT RATED,30 Jun 2024,Horror,"Horror, Sci-Fi, Thriller",112.0,Mike Horan,Mike Horan,"Megan Bell, Remi Webster, Shaun Foley","A tragic accident, a fractured mind, a body healed by an experimental technology. A young woman becomes supernaturally linked to the horrors of her past. Haunted, hunted, harrowed, she must uncover the truth in order to be free.",English,"Australia, United States",57 wins & 5 nominations total,0.0,,2.6,285,movie,425.802,5.0,4,5.64407,59.0,Megan Bell, Remi Webster, Shaun Foley,,,0,0,0,0,57,5
36,Subservience,2024,R,13 Sep 2024,Sci-Fi,"Sci-Fi, Thriller",106.0,S.K. Dale,"Will Honley, April Maguire","Megan Fox, Michele Morrone, Madeline Zima","Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly.",English,United States,None,0.0,,5.4,20866,movie,418.587,6.699,397,6.35484,2759.0,Megan Fox, Michele Morrone, Madeline Zima,50%,,0,0,0,0,0,0
37,Moana,2016,PG,23 Nov 2016,Animation,"Animation, Adventure, Comedy",107.0,"Ron Clements, John Musker, Don Hall","Jared Bush, Ron Clements, John Musker","Auli'i Cravalho, Dwayne Johnson, Rachel House","In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.","English, French",United States,Nominated for 2 Oscars. 22 wins & 90 nominations total,248757044.0,81.0,7.6,402692,movie,403.389,0.0,0,6.85185,27.0,Auli'i Cravalho, Dwayne Johnson, Rachel House,95%,81/100,0,0,0,0,0,0
38,Home Alone 2: Lost in New York,1992,PG,20 Nov 1992,Adventure,"Adventure, Comedy, Crime",120.0,Chris Columbus,John Hughes,"Macaulay Culkin, Joe Pesci, Daniel Stern","Kevin is separated from his family again when he accidentally boards a flight to New York City during a Christmas trip to Miami. However he crosses paths with the same burglars, who now plan to rob a toy store on Christmas eve.","English, French, Spanish, Latin",United States,3 wins & 3 nominations total,173585516.0,46.0,6.9,416768,movie,392.825,6.751,9592,7.31571,20801.0,Macaulay Culkin, Joe Pesci, Daniel Stern,35%,46/100,0,0,0,0,3,3
39,The Soul Eater,2024,PG-13,24 Apr 2024,Crime,"Crime, Horror, Mystery",108.0,"Alexandre Bustillo, Julien Maury","Annelyse Batrel, Ludovic Lefebvre, Alexis Laipsker","Virginie Ledoyen, Paul Hamy, Sandrine Bonnaire","When violent and gruesome deaths starts plaguing a small mountain village, an old legend about a malevolent creature resurfaces.",French,"France, Belgium",None,0.0,,6.0,1177,movie,389.267,6.197,89,6.23643,258.0,Virginie Ledoyen, Paul Hamy, Sandrine Bonnaire,79%,,0,0,0,0,0,0
40,The Grinch,2018,PG,09 Nov 2018,Animation,"Animation, Comedy, Family",85.0,"Yarrow Cheney, Scott Mosier","Michael LeSieur, Tommy Swerdlow, Dr. Seuss","Benedict Cumberbatch, Cameron Seely, Rashida Jones",A grumpy Grinch plots to ruin Christmas for the village of Whoville.,English,"France, United States",2 wins & 18 nominations total,272242291.0,51.0,6.4,100795,movie,387.666,6.863,3973,7.10843,9213.0,Benedict Cumberbatch, Cameron Seely, Rashida Jones,60%,51/100,0,0,0,0,2,18
41,Cash Out,2024,R,27 Apr 2024,Action,Action,92.0,Randall Emmett,"Dipo Oseni, Doug Richardson","John Travolta, Kristin Davis, Lukas Haas","Professional thief Mason attempts his biggest heist with his brother, robbing a bank. When it goes wrong, they're trapped inside surrounded by law enforcement. Tension rises as Mason negotiates with his ex-lover, the lead negotiator.",English,United States,None,0.0,46.0,4.7,2458,movie,382.698,6.4,138,6.57122,1355.0,John Travolta, Kristin Davis, Lukas Haas,20%,46/100,0,0,0,0,0,0
42,Do Not Enter,2024,PG-13,06 Aug 2024,Horror,Horror,85.0,Hugo Cardozo,"Hugo Cardozo, Hernán Moyano","Lucas Caballero, Pablo Martínez, Rafael Alfaro","Two friends, aspiring YouTubers, trespass where they shouldn't. Their adventure takes a terrifying turn as they confront an unimaginable horror","Spanish, Guarani",Paraguay,None,0.0,,5.5,298,movie,380.908,7.291,91,5.73944,142.0,Lucas Caballero, Pablo Martínez, Rafael Alfaro,,,0,0,0,0,0,0
43,The Price of Money: A Largo Winch Adventure,2024,PG-13,31 Jul 2024,Action,"Action, Adventure, Mystery",100.0,Olivier Masset-Depasse,"Giordano Gederlini, Domenico La Porta, Olivier Masset-Depasse","Tomer Sisley, James Franco, Clotilde Hesme","It follows Largo Winch, who is devastated by the kidnapping of his son. He realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again.","French, English","France, Belgium",None,0.0,,,285,movie,374.702,5.6,45,6.14458,249.0,Tomer Sisley, James Franco, Clotilde Hesme,,,0,0,0,0,0,0
44,Whisper of the Witch,2024,PG-13,13 Jun 2024,Horror,"Horror, Thriller",95.0,Serik Beyseu,"Sergey Kaluzhanov, Yuliana Zakrevskaya, Dmitriy Zhigalov","Maryana Spivak, Igor Grabuzov, Valeria Kot","Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.","Russian, English","Russia, Kazakhstan",None,0.0,,3.9,289,movie,372.366,6.654,13,5.94231,52.0,Maryana Spivak, Igor Grabuzov, Valeria Kot,,,0,0,0,0,0,0
45,28 Days Later,2002,R,27 Jun 2003,Drama,"Drama, Horror, Sci-Fi",113.0,Danny Boyle,Alex Garland,"Cillian Murphy, Naomie Harris, Christopher Eccleston","Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.","English, Spanish",United Kingdom,10 wins & 32 nominations total,45064915.0,73.0,7.5,464231,movie,353.582,7.225,6731,7.60575,15835.0,Cillian Murphy, Naomie Harris, Christopher Eccleston,87%,73/100,0,0,0,0,10,32
46,We Live in Time,2024,R,18 Oct 2024,Drama,"Drama, Romance",108.0,John Crowley,Nick Payne,"Andrew Garfield, Florence Pugh, Grace Delaney","An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",English,"France, United Kingdom",None,24690031.0,59.0,7.0,20981,movie,350.491,7.6,211,7.27503,1618.0,Andrew Garfield, Florence Pugh, Grace Delaney,78%,59/100,0,0,0,0,0,0
47,The Lord of the Rings: The War of the Rohirrim,2024,PG-13,13 Dec 2024,Animation,"Animation, Action, Adventure",134.0,Kenji Kamiyama,"Jeffrey Addiss, Will Matthews, Phoebe Gittins","Brian Cox, Gaia Wise, Miranda Otto","A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the H...",English,"United States, New Zealand, Japan",None,8590000.0,54.0,6.5,14353,movie,333.584,6.8,48,6.63355,1389.0,Brian Cox, Gaia Wise, Miranda Otto,50%,54/100,0,0,0,0,0,0
48,Flow,2024,PG,28 Aug 2024,Animation,"Animation, Adventure, Family",85.0,Gints Zilbalodis,"Gints Zilbalodis, Matiss Kaza",Unknown,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",Latvian,"Latvia, Belgium, France",24 wins & 28 nominations total,1548535.0,86.0,7.9,7395,movie,332.256,8.5,403,7.89443,1364.0,Unknown,,,97%,86/100,0,0,0,0,24,28
49,Bad Boys: Ride or Die,2024,R,07 Jun 2024,Action,"Action, Adventure, Comedy",115.0,"Adil El Arbi, Bilall Fallah","Chris Bremner, Will Beall, George Gallo","Will Smith, Martin Lawrence, Vanessa Hudgens","When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",English,United States,1 nomination total,193573217.0,54.0,6.5,89166,movie,327.779,7.487,2430,7.19262,8805.0,Will Smith, Martin Lawrence, Vanessa Hudgens,65%,54/100,0,0,0,0,0,0
50,Battle for the Western Front,2022,PG-13,06 Feb 2024,War,War,90.0,Aaron Huggett,Aaron Huggett,"Christopher Cordell, Michael Lake, Adam Daniel Mezei","Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pega...",English,Canada,35 wins & 1 nomination,0.0,,4.5,115,movie,326.504,5.7,10,3.2,5.0,Christopher Cordell, Michael Lake, Adam Daniel Mezei,,,0,0,0,0,35,1
51,Dominique,2024,R,11 Oct 2024,Action,"Action, Thriller",100.0,Michael S. Ojeda,"Michael S. Ojeda, Oksana Orlan","Maurice Compte, Oksana Orlan, Chase Coleman","Trained assassin Dominique, escaping her troubled past, crash lands her plane in a Colombian town rife with violence. Sheltered by a family, she faces attacks from police and must choose between self-preservation or defending her ...","English, Spanish","United States, Colombia",None,0.0,,4.9,1357,movie,320.756,7.538,78,6.84094,855.0,Maurice Compte, Oksana Orlan, Chase Coleman,,,0,0,0,0,0,0
